key,text
settings,Settings
language,Language
keybinds,Keybinds
audio,Audio
video,Video
master_volume,Master
music_volume,Music
sfx_volume,SFX
fullscreen,Fullscreen
save,Save
back,Back
press_key,Press a key…
pause,Pause
surrender,Surrender
chat,Chat
main_menu_single,Single Player
main_menu_host,Host Game
main_menu_find,Find Game
main_menu_quit,Quit
action.Move,Move
action.Stop,Stop
action.Attack,Attack
action.AttackMove,Attack Move
action.Hold,Hold
action.Harvest,Harvest
action.Repair,Repair
action.Deploy,Deploy/Pack
action.SwitchAmmo,Switch Ammo
action.Garrison,Garrison
action.ReleaseWorkers,Release Workers
action.Stim,Stim
action.CruiserMobility,Mobility Mode
action.Radar,Radar
action.OrbitalStrike,Orbital Strike
action.NanoSpread,Spread Creep
action.PlasmaStrike,Plasma Cannon
action.PlasmaMode,Auto/Manual
action.SelfDestruct,Self-Destruct
name.DemonWorker,Demon Worker
name.DemonDog,Demon Dog
name.DemonFlyer,Flying Shooter
name.HeavyTank,Heavy War Vehicle
name.FireDragon,Fire Dragon
name.LavaBanner,Lava Banner Carrier
name.Banner,Banner
name.FortGuard,Fortress Guard
name.HellLord,Hell Lord
name.FireTitan,Fire Titan
name.HellCity,Hell City
name.GreatRift,Great Rift
name.HeavyWorkshop,Heavy Workshop
name.DragonNest,Dragon Nest
name.ManaTower,Mana Tower
name.SoulStone,Soul Stone
name.LavaAltar,Lava Altar
name.CurseFortress,Curse Fortress
name.DemonTower,Demon Tower
name.SCV,SCV
name.RifleMan,Rifleman
name.RocketMan,Rocket Trooper
name.Medic,Medic
name.Biped,Dual-Cannon Mech
name.Hp,Gunship
name.BattleCruiser,Battlecruiser
name.CommandCenter,Command Center
name.BB,Barracks
name.VF,Factory
name.SupplyDepot,Supply Depot
name.Academy,Academy
name.Starport,Starport
name.OrbitalControl,Orbital Control
name.Engineer,Engineer
name.Marine,Marine
name.HeavyInfantry,Heavy Infantry
name.CommandVehicle,Command Vehicle
name.Artillery,Artillery
name.Liberator,Liberator Orbital Gun
name.Fighter,Fighter Jet
