key,text
settings,设置
language,语言
keybinds,键位
audio,声音
video,画面
master_volume,主音量
music_volume,音乐音量
sfx_volume,音效音量
fullscreen,全屏
save,保存
back,返回
press_key,按任意键…
pause,暂停
surrender,投降
chat,聊天
main_menu_single,单机
main_menu_host,创建房间
main_menu_find,寻找房间
main_menu_quit,退出游戏
action.Move,移动
action.Stop,停止
action.Attack,攻击
action.AttackMove,攻击移动
action.Hold,驻守
action.Harvest,采集
action.Repair,维修
action.Deploy,架设/收起
action.SwitchAmmo,切换弹种
action.Garrison,驻扎
action.ReleaseWorkers,放出工人
action.Stim,兴奋剂
action.CruiserMobility,机动模式
action.Radar,雷达
action.OrbitalStrike,轨道炮打击
action.NanoSpread,地毯扩散
action.PlasmaStrike,电浆炮
action.PlasmaMode,自动/手动切换
action.SelfDestruct,自杀
name.DemonWorker,怨灵
name.DemonDog,恶魔狗
name.DemonFlyer,飞行射手
name.HeavyTank,重型战车
name.FireDragon,喷火龙
name.LavaBanner,熔岩旗手
name.Banner,旗帜
name.FortGuard,堡垒守卫
name.HellLord,地狱领主
name.FireTitan,火焰巨魔
name.HellCity,地狱城
name.GreatRift,大裂隙
name.HeavyWorkshop,重型车间
name.DragonNest,喷火龙巢
name.ManaTower,魔能塔
name.SoulStone,灵魂石
name.LavaAltar,熔岩祭坛
name.CurseFortress,诅咒堡垒
name.DemonTower,魔塔
name.SCV,工程车
name.RifleMan,步枪兵
name.RocketMan,火箭兵
name.Medic,医疗兵
name.Biped,双管重装
name.Hp,武装直升机
name.BattleCruiser,战列巡洋舰
name.CommandCenter,指挥中心
name.BB,兵营
name.VF,工厂
name.SupplyDepot,补给站
name.Academy,研究院
name.Starport,太空船坞
name.OrbitalControl,轨道控制中心
name.Engineer,工程兵
name.Marine,大兵
name.HeavyInfantry,重装步兵
name.CommandVehicle,指挥车
name.Artillery,自行火炮
name.Liberator,解放者天基炮
name.Fighter,鲲式战斗机
name.MissileVehicle,导弹发射车
name.FortressCore,指挥堡垒
name.FrontlineCamp,前线营地
name.FieldCamp,野战营
name.ArmorFactory,装甲工厂
name.Airfield,机场
name.Armory,军械所
name.AlgaeFactory,藻类工厂
name.Builder,建造型
name.Hunter,游猎型
name.Harvester,收割型
name.Shepherd,牧羊人型
name.Tank,战车型
name.PlasmaCannon,电浆炮型
name.NanoBehemoth,纳米巨兽
name.NanoTurret,机炮
name.NanoSniper,狙击炮
name.NanoAA,防空飞弹
name.NanoHarvester,采集器
name.NanoActiveTower,活性化塔
name.NanoSmokeTower,烟雾塔
name.NanoCore,纳米核心
menu.title,县际争霸3
menu.lobby_title,房间等待中
menu.room_list_title,房间列表
menu.refresh,刷新
menu.pkg_ok,包完整
menu.pkg_missing,缺文件!
menu.version,"v{0} · {1} · {2}"
lobby.ready,准备
lobby.unready,取消准备
lobby.start,开始
lobby.race_prompt,请选择种族
lobby.team_prompt,请选择出生点
lobby.map_classic,经典大地图
lobby.map_1v1,1v1 断墙小图
lobby.map_debug,调试地图
lobby.team_slot,位置 {0}
lobby.not_selected,未选择
lobby.no_team,未选位
lobby.ready_yes,[已准备]
lobby.ready_no,[未准备]
lobby.player_line,"{0} (P{1}) | {2} | {3} | {4}"
lobby.room_fallback,大厅: {0}
lobby.local_player,玩家 {0}
lobby.unknown_player,未知玩家
lobby.join,加入
race.union,联合
race.nano,纳米虫
race.demon,恶魔
race.wanderer,多足机械
race.terran,泰伦
resource.metal,矿物
resource.gas,瓦斯
resource.energy,能量
resource.data,数据
resource.food,人口
resource.money,金钱
resource.wood,木材
resource.supply,人口
resource.biomass,生物质
resource.nanobots,纳米机器人
hud.supply,人口 {0}/{1}
hud.bound_count,怨灵 {0}/{1}
hud.garrison_count,工人 {0}/{1}
hud.fps_line,"画面 {0} FPS  逻辑 {1} TPS"
info.resource_remaining,"[资源] 剩余 {0} / {1}"
info.attrs,"[属性] 护甲:{0}"
info.tags,"  标签:{0}"
info.move_speed,"  移速:{0}格/s"
info.vision,"  视野:{0}格"
info.energy,"  能量:{0:F0}/{1:F0}"
info.no_weapon,无武器
info.energy_value,"能量 {0:F0}"
info.ammo_value,"弹药 {0:F0}"
info.combat_rating,"  战力:{0}"
armor.light,轻甲
armor.armored,重甲
armor.biological,生物
armor.mechanical,机械
armor.structure,建筑
armor.other,甲{0}
dmg.kinetic,动能
dmg.thermal,热能
dmg.explosive,爆破
dmg.em,电磁
dmg.beam,光束
dmg_short.kinetic,动
dmg_short.thermal,热
dmg_short.explosive,爆
dmg_short.em,电
dmg_short.beam,光
target.ground,对地
target.air,对空
target.structure,建筑
proj.instant,即时
weapon.melee,近战
weapon.ranged,远程
proj.homing,跟踪
proj.fixed,弹道
proj.lob,抛射
weapon.splash,"溅射{0}格"
weapon.cone,"扇形{0}°"
weapon.footprint,长宽²结算
weapon.cooldown,"[冷却{0}s]"
weapon.stats,"{0}{1} {2} | 射程{3}格 攻速{4}s | {5}{6}{7}"
buff.tooltip,"{0} x{1}  剩余 {2:F1}s / {3:F1}s"
buff.permanent,"{0} x{1}  永久"
net.desync,"检测到脱步，模拟已暂停。报告: {0}"
net.player_dropped,"玩家 {0} 已掉线，已从锁步中移除"
net.waiting_input,"等待玩家 {0} 的指令…自动补发中"
nano.spread_btn,扩散菌毯
nano.spread_confirm,"点击地面确认扩散 [{0}]"
nano.spread_cd,扩散菌毯 [x{0}] 恢复{1}s
nano.spread_ready,扩散菌毯 [x{0}] 就绪
nano.btn_turret,"机炮\n150n"
nano.btn_sniper,"狙击炮\n200n"
nano.btn_aa,"防空飞弹\n150n"
nano.btn_harvester,"采集器\n300n"
nano.btn_active,"活性化塔\n200n"
nano.btn_smoke,"烟雾塔\n200n"
orbital.energy,"能量: {0}"
orbital.btn_radar,雷达 20e
orbital.btn_strike,轨道炮 40e
orbital.btn_ex_metal,金属→瓦斯 20e
orbital.btn_ex_gas,瓦斯→金属 20e
room.join,加入
action.AutoProduceMode,切换模式
action.ExchangeMetalToGas,金属→瓦斯
action.ExchangeGasToMetal,瓦斯→金属
action.HeroSkill1,技能 1
action.HeroSkill2,技能 2
action.SelfDestructTip,摧毁自身
build.requires,需要：{0}
list_sep,、
vote.rematch,重新开局
vote.surrender_team,队伍投降
vote.banner,"玩家 {0} 发起[{1}]投票  同意 N / 反对 M  ({2:0}s)"
vote.passed_rematch,重开投票通过，本局以平局结束
vote.failed_rematch,重开投票未通过
vote.passed_surrender,队伍投降投票通过
vote.failed_surrender,队伍投降投票未通过
bot.none,无机器人
bot.count,机器人 x{0}
bot.easy,休闲
bot.normal,标准
bot.hard,疯狂
skill.BattleCruiser.1,机动模式
skill.CommandVehicle.1,烟雾弹
skill.CommandVehicle.2,干扰弹
skill.FireTitan.1,咆哮 30能
skill.FireTitan.2,冲锋 10能
skill.HellLord.1,恐惧勾魂 10能
skill.HellLord.2,狂热武装 15能
skill.PlasmaCannon.1,电浆炮
skill.PlasmaCannon.2,切换自动/手动
skill.RifleMan.1,兴奋剂
name.GasSpring,瓦斯喷泉
name.IronOre,铁矿
name.MetalMine,金属矿
name.WildFruit,野果
name.Shrine,圣地
